News_ID,Date,Country,Region,Headline
1,2020-03-18,UK,England,Shortage of ventilators reported in England.
2,2020-10-10,Germany,Bavaria,"New variant spreads in Bavaria, vaccination urged."
3,2021-05-26,Germany,Saxony,"Lung disease cases rise in Saxony, experts urge caution."
4,2020-07-07,Brazil,Rio de Janeiro,"Rio de Janeiro sees decrease in cases, restrictions eased."
5,2021-03-21,South Africa,Western Cape,"COVID-19 surge in Western Cape, hospitals under pressure."
6,2020-12-20,Germany,Berlin,Shortage of ventilators reported in Berlin.
7,2020-03-17,India,Kerala,"Kerala sees decrease in cases, restrictions eased."
8,2020-04-24,South Africa,Gauteng,"New variant spreads in Gauteng, vaccination urged."
9,2022-05-03,Germany,Berlin,"COVID-19 surge in Berlin, hospitals under pressure."
10,2020-01-24,Italy,Veneto,Shortage of ventilators reported in Veneto.
11,2022-12-09,USA,Texas,"COVID-19 surge in Texas, hospitals under pressure."
12,2023-03-02,Germany,Saxony,"Lung disease cases rise in Saxony, experts urge caution."
13,2021-03-28,Germany,Saxony,"Lung disease cases rise in Saxony, experts urge caution."
14,2022-07-01,USA,Florida,"Florida sees decrease in cases, restrictions eased."
15,2022-06-03,India,Delhi,"New variant spreads in Delhi, vaccination urged."
16,2020-09-27,South Africa,Gauteng,"New variant spreads in Gauteng, vaccination urged."
17,2023-03-16,India,Karnataka,"COVID-19 surge in Karnataka, hospitals under pressure."
18,2020-06-23,South Africa,KwaZulu-Natal,Shortage of ventilators reported in KwaZulu-Natal.
19,2020-09-24,South Africa,Western Cape,"Lung disease cases rise in Western Cape, experts urge caution."
20,2021-02-09,Japan,Hokkaido,Shortage of ventilators reported in Hokkaido.
21,2023-03-16,South Africa,Western Cape,"Lung disease cases rise in Western Cape, experts urge caution."
22,2020-05-26,Italy,Lombardy,"New variant spreads in Lombardy, vaccination urged."
23,2023-03-25,South Africa,KwaZulu-Natal,"COVID-19 surge in KwaZulu-Natal, hospitals under pressure."
24,2022-05-17,India,Karnataka,"New variant spreads in Karnataka, vaccination urged."
25,2021-10-18,Germany,Bavaria,"New variant spreads in Bavaria, vaccination urged."
26,2020-12-12,USA,Texas,"New variant spreads in Texas, vaccination urged."
27,2020-10-25,Japan,Hokkaido,Shortage of ventilators reported in Hokkaido.
28,2021-02-12,USA,New York,"New variant spreads in New York, vaccination urged."
29,2020-06-24,UK,Wales,"COVID-19 surge in Wales, hospitals under pressure."
30,2020-10-29,USA,New York,"New variant spreads in New York, vaccination urged."
31,2020-08-15,USA,Texas,"New variant spreads in Texas, vaccination urged."
32,2020-02-16,Japan,Osaka,"New variant spreads in Osaka, vaccination urged."
33,2023-01-06,Italy,Veneto,"Lung disease cases rise in Veneto, experts urge caution."
34,2022-12-07,Italy,Veneto,"New variant spreads in Veneto, vaccination urged."
35,2020-10-16,Japan,Hokkaido,"COVID-19 surge in Hokkaido, hospitals under pressure."
36,2022-12-14,South Africa,Western Cape,"COVID-19 surge in Western Cape, hospitals under pressure."
37,2020-05-03,Brazil,Sao Paulo,"New variant spreads in Sao Paulo, vaccination urged."
38,2021-07-09,Italy,Veneto,"COVID-19 surge in Veneto, hospitals under pressure."
39,2020-01-18,Japan,Hokkaido,"COVID-19 surge in Hokkaido, hospitals under pressure."
40,2021-07-09,South Africa,Western Cape,"New variant spreads in Western Cape, vaccination urged."
41,2021-08-22,India,Maharashtra,Shortage of ventilators reported in Maharashtra.
42,2022-11-07,Italy,Lazio,"COVID-19 surge in Lazio, hospitals under pressure."
43,2022-12-24,Germany,Berlin,"COVID-19 surge in Berlin, hospitals under pressure."
44,2022-10-22,UK,England,Shortage of ventilators reported in England.
45,2021-05-21,USA,California,"California sees decrease in cases, restrictions eased."
46,2022-09-30,Brazil,Rio de Janeiro,Shortage of ventilators reported in Rio de Janeiro.
47,2021-12-11,UK,England,"New variant spreads in England, vaccination urged."
48,2021-09-11,Germany,Saxony,"Lung disease cases rise in Saxony, experts urge caution."
49,2021-06-11,Brazil,Sao Paulo,Shortage of ventilators reported in Sao Paulo.
50,2021-04-06,USA,Texas,"Lung disease cases rise in Texas, experts urge caution."
51,2020-10-08,Germany,Berlin,"COVID-19 surge in Berlin, hospitals under pressure."
52,2021-04-10,South Africa,Western Cape,Shortage of ventilators reported in Western Cape.
53,2020-11-08,Italy,Veneto,Shortage of ventilators reported in Veneto.
54,2021-11-05,Brazil,Bahia,Shortage of ventilators reported in Bahia.
55,2020-10-10,UK,England,"England sees decrease in cases, restrictions eased."
56,2021-09-24,Italy,Lombardy,"Lombardy sees decrease in cases, restrictions eased."
57,2020-10-24,UK,Scotland,"Scotland sees decrease in cases, restrictions eased."
58,2020-05-18,UK,Scotland,"Scotland sees decrease in cases, restrictions eased."
59,2021-10-12,India,Delhi,"Lung disease cases rise in Delhi, experts urge caution."
60,2022-04-27,USA,Texas,Shortage of ventilators reported in Texas.
61,2021-07-14,Brazil,Rio de Janeiro,"Lung disease cases rise in Rio de Janeiro, experts urge caution."
62,2020-09-26,Italy,Lombardy,"Lung disease cases rise in Lombardy, experts urge caution."
63,2023-03-07,USA,Texas,"Texas sees decrease in cases, restrictions eased."
64,2021-04-20,Italy,Veneto,"Lung disease cases rise in Veneto, experts urge caution."
65,2020-06-11,USA,Texas,Shortage of ventilators reported in Texas.
66,2022-08-18,UK,Wales,"New variant spreads in Wales, vaccination urged."
67,2022-10-03,UK,Scotland,Shortage of ventilators reported in Scotland.
68,2021-01-30,UK,England,"Lung disease cases rise in England, experts urge caution."
69,2020-01-31,USA,Florida,"New variant spreads in Florida, vaccination urged."
70,2021-02-19,South Africa,Gauteng,"Lung disease cases rise in Gauteng, experts urge caution."
71,2022-06-18,India,Delhi,"Delhi sees decrease in cases, restrictions eased."
72,2021-10-27,Japan,Hokkaido,Shortage of ventilators reported in Hokkaido.
73,2022-04-09,Italy,Lazio,"COVID-19 surge in Lazio, hospitals under pressure."
74,2021-10-02,South Africa,Western Cape,Shortage of ventilators reported in Western Cape.
75,2022-07-13,USA,California,Shortage of ventilators reported in California.
76,2022-11-28,USA,New York,"New York sees decrease in cases, restrictions eased."
77,2020-03-21,South Africa,Western Cape,"Western Cape sees decrease in cases, restrictions eased."
78,2020-04-10,South Africa,Western Cape,"Lung disease cases rise in Western Cape, experts urge caution."
79,2022-03-26,Brazil,Rio de Janeiro,"New variant spreads in Rio de Janeiro, vaccination urged."
80,2020-12-06,Brazil,Rio de Janeiro,Shortage of ventilators reported in Rio de Janeiro.
81,2020-04-21,Brazil,Bahia,"Bahia sees decrease in cases, restrictions eased."
82,2022-07-14,UK,Scotland,"COVID-19 surge in Scotland, hospitals under pressure."
83,2023-04-13,India,Delhi,"Delhi sees decrease in cases, restrictions eased."
84,2022-04-26,UK,Scotland,"New variant spreads in Scotland, vaccination urged."
85,2021-01-01,Japan,Tokyo,Shortage of ventilators reported in Tokyo.
86,2020-07-03,Italy,Lazio,"New variant spreads in Lazio, vaccination urged."
87,2020-12-01,Germany,Saxony,"COVID-19 surge in Saxony, hospitals under pressure."
88,2022-07-09,India,Maharashtra,"New variant spreads in Maharashtra, vaccination urged."
89,2022-11-13,India,Karnataka,"Karnataka sees decrease in cases, restrictions eased."
90,2023-02-01,UK,Scotland,Shortage of ventilators reported in Scotland.
91,2021-11-17,USA,New York,"New York sees decrease in cases, restrictions eased."
92,2020-10-23,UK,England,"Lung disease cases rise in England, experts urge caution."
93,2021-09-22,USA,Florida,"New variant spreads in Florida, vaccination urged."
94,2021-01-05,Japan,Osaka,"COVID-19 surge in Osaka, hospitals under pressure."
95,2020-01-08,UK,England,"England sees decrease in cases, restrictions eased."
96,2022-07-28,Brazil,Sao Paulo,Shortage of ventilators reported in Sao Paulo.
97,2020-01-12,Japan,Hokkaido,"Hokkaido sees decrease in cases, restrictions eased."
98,2021-03-20,Japan,Tokyo,"Tokyo sees decrease in cases, restrictions eased."
99,2022-04-19,Japan,Osaka,Shortage of ventilators reported in Osaka.
100,2021-05-16,India,Maharashtra,"Maharashtra sees decrease in cases, restrictions eased."
